title,type,location,area_of_apt,no_of_bedrooms,no_of_bathrooms,Amenities,price,link
شقة استلام فوري في كمبوند المقصد بارك بالعاصمه,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",135,3,2,"['Study', 'Central A/C', 'Balcony', 'Security', 'Walk-in Closet', 'View of Landmark', 'Shared Gym', 'Lobby in Building']",3348000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7575167.html
شقة استلام فوري في المقصد ريزيدنس,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",168,3,2,"['Study', 'Balcony', 'Shared Spa', 'Walk-in Closet', 'View of Landmark', 'Shared Gym', 'Lobby in Building']",3457000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7575162.html
The cheapest price in the capital. Take advantage ,Apartment,"Floria, New Capital Compounds, New Capital City, Cairo",160,3,2,"['Maids Room', 'Study', 'Central A/C', 'Balcony', 'Private Pool', 'Security', 'Covered Parking', 'Built in Wardrobes', 'Kitchen Appliances', 'Shared Gym']",5400000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-floria-7575114.html
Townhouse corner for sale in The Island NAC,Townhouse,"The Islands, New Capital City, Cairo",248,3,4,"['Maids Room', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking', 'Walk-in Closet', 'View of Water']",21060990,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-cairo-new-capital-city-the-islands-7574957.html
Apartment 129 m² ready to move in New Capital City,Apartment,"IL Bosco, New Capital Compounds, New Capital City, Cairo",129,2,3,['Balcony'],5750000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-il-bosco-7574930.html
 Fully finished apartment (pool view for sale ),Apartment,"Dejoya 3 New Capital, New Capital Compounds, New Capital City, Cairo",142,3,2,"['Maids Room', 'Study', 'Central A/C', 'Balcony', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking', 'Built in Wardrobes', 'Walk-in Closet']",7400000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-dejoya-3-new-capital-7574746.html
Invest in New Capital with longest payment plan,Apartment,"The Islands, New Capital City, Cairo",147,3,2,"['Balcony', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking', 'Walk-in Closet', 'View of Water', 'Shared Gym', ""Children's Pool""]",7968836,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-the-islands-7574683.html
apartment in ri8 in an attractive price ,Apartment,"RI8 New Capital, New Capital Compounds, New Capital City, Cairo",99,1,2,"['Study', 'Balcony', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking', 'View of Water', 'View of Landmark', 'Shared Gym', 'Lobby in Building']",3665000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-ri8-new-capital-7574533.html
Apartment for sale with an area of 168 square mete,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",168,3,3,"['Maids Room', 'Study', 'Shared Spa', 'Security', 'Covered Parking', 'Walk-in Closet', 'View of Landmark', 'Lobby in Building', ""Children's Pool""]",3450000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7574455.html
Fully finished apartment for immediate delivery ,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",121,3,2,"['Study', 'Balcony', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking', 'Built in Wardrobes', 'Walk-in Closet', 'View of Landmark']",4600000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7574411.html
