title,type,location,area_of_apt,no_of_bedrooms,no_of_bathrooms,Amenities,price,link
Apartment RTM+Finished At Lowest Price in R3| 5%Dp,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",158,2,2,"['Maids Room', 'Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking']",6720000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7243663.html
receive an immediate finished villa -La Vista City,Villa,"La Vista City, New Capital Compounds, New Capital City, Cairo",400,4,4,"['Maids Room', 'Study', 'Balcony', 'Private Garden', 'Shared Spa', 'Security', 'Covered Parking', 'Built in Wardrobes', 'Walk-in Closet', 'View of Landmark']",26950000,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-capital-city-new-capital-compounds-la-vista-city-7242903.html
&#34;For a quick sale directly from the owner ,Villa,"La Vista City, New Capital Compounds, New Capital City, Cairo",280,4,3,"['Maids Room', 'Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking']",16500000,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-capital-city-new-capital-compounds-la-vista-city-7242790.html
Apartment 150m in Lunch in New Capital Over 8 Year,Apartment,"Pukka, New Capital Compounds, New Capital City, Cairo",150,3,3,"['Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking', 'Built in Wardrobes']",7400000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-pukka-7242750.html
مباشرة علي النهر الأخضر كمباوند سيليا شقة 181 متر ,Apartment,"Celia, New Capital Compounds, New Capital City, Cairo",181,3,3,"['Maids Room', 'Study', 'Balcony', 'Security', 'Built in Wardrobes', 'Walk-in Closet']",6272000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-celia-7241992.html
"APT for sale with a private garden, fully finished",Apartment,"Jade Park, New Capital Compounds, New Capital City, Cairo",218,3,3,"['Study', 'Balcony', 'Private Garden', 'Shared Spa', 'Security', 'Covered Parking', 'Built in Wardrobes', 'Walk-in Closet', 'View of Water', 'Lobby in Building']",8349000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-jade-park-7241954.html
شقة للبيع في العاصمة  استلام فوري ومتشطبة بالكامل ,Apartment,"Jade Park, New Capital Compounds, New Capital City, Cairo",182,2,2,"['Study', 'Balcony', 'Security', 'Covered Parking', 'Built in Wardrobes', 'Walk-in Closet', 'View of Water', 'Shared Gym', 'Lobby in Building']",8145000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-jade-park-7241838.html
"Fully finished APT for sale, read to move . ",Apartment,"Jade Park, New Capital Compounds, New Capital City, Cairo",175,2,2,"['Study', 'Balcony', 'Shared Pool', 'Security', 'Covered Parking', 'Built in Wardrobes', 'View of Water', 'Shared Gym', 'Lobby in Building']",8885000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-jade-park-7241195.html
شقة في المقصد استلام فوري عقد قديم اقل من الشركة,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",150,3,3,"['Balcony', 'Shared Spa', 'Security', 'Covered Parking', 'View of Landmark']",4061000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7240712.html
Apartment Finished | RTM | in New Capital Over12Y,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",182,2,2,"['Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking', 'Built in Wardrobes']",8100000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7240670.html
شقة للبيع بكمبوند DEJOYA بالعاصمةبمقدم 850 الف,Apartment,"Dejoya 3 New Capital, New Capital Compounds, New Capital City, Cairo",155,3,1,"['Maids Room', 'Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking']",7550000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-dejoya-3-new-capital-7239921.html
  شقة ارضى مع حديقة56م فى البوسكو سيتى استلام فورى,Apartment,"IL Bosco, New Capital Compounds, New Capital City, Cairo",134,2,4,['Balcony'],5553000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-il-bosco-7239711.html
Villa 464m Ready To Move With installment 5 Years,Villa,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",464,5,5,"['Study', 'Balcony', 'Security', 'View of Water']",21000000,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7239452.html
Fully finished super lux Ready for immediate deliv,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",162,3,3,"['Central A/C', 'Balcony', 'Covered Parking', 'Built in Wardrobes']",5800000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7239120.html
Prime 179 SQM Resale Apartment in Al Maqsed – Icon,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",179,3,3,"['Central A/C', 'Balcony', 'Covered Parking', 'Built in Wardrobes']",5000000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7238612.html
شقه سوبر لوكس للبيع في كمبوند سيليا العاصمه الادار,Apartment,"Celia, New Capital Compounds, New Capital City, Cairo",80,1,1,"['Balcony', 'Security', 'Covered Parking']",2000000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-celia-7237198.html
Apartment 148m on Lagoon With installment 7 Years,Apartment,"Lumia Residence, R7, New Capital City, Cairo",148,3,3,"['Balcony', 'Shared Pool', 'Shared Spa', 'Security', 'Shared Gym']",6100000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-r7-lumia-residence-7237186.html
"Immediate receipt, finished, and installments",Townhouse,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",377,4,4,"['Maids Room', 'Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking']",7400000,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7236754.html
Good opportunity with Kleek F.F apartments in NC,Apartment,"La Vista City, New Capital Compounds, New Capital City, Cairo",170,3,3,"['Maids Room', 'Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking']",7200000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-la-vista-city-7236686.html
"Apartment Ready For Showing in New Capital| 1,2%DP",Apartment,"New Garden City, New Capital Compounds, New Capital City, Cairo",210,3,3,"['Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking', 'Built in Wardrobes']",10059000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-new-garden-city-7236374.html
Resale apartment prime location in celia ,Apartment,"Celia, New Capital Compounds, New Capital City, Cairo",181,3,3,"['Study', 'Balcony', 'Security']",6620000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-celia-7236340.html
Resale-Townhouse with lowest over-modern-AlMaqased,Townhouse,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",402,3,3,"['Maids Room', 'Study', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking', 'Built in Wardrobes']",16772990,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7236194.html
Resale-villa with large area and lowest price,Villa,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",509,5,4,"['Maids Room', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking', 'Built in Wardrobes']",30000000,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7236192.html
Ready To Move Resale Apartment in Capital Way,Apartment,"The Capital Way, New Capital Compounds, New Capital City, Cairo",280,4,4,"['Study', 'Balcony', 'Security', 'Covered Parking', 'Walk-in Closet', 'View of Water', 'View of Landmark']",10000000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-the-capital-way-7236108.html
Resale-Unit at almaqsad-old price-special space,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",181,3,2,"['Study', 'Balcony', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking', 'Built in Wardrobes', 'Walk-in Closet', 'View of Water', 'View of Landmark']",7053000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7236064.html
Apartment for sale in Al Maqsad – New Administrati,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",155,3,3,"['Balcony', 'Security', 'Lobby in Building']",2500000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7235689.html
"Resale, finished in Al Maqsad with low overpriced",Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",175,3,3,"['Balcony', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking', 'View of Landmark', 'Lobby in Building']",7346000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7235531.html
"Resale,finished, RTM - Double View, Installment ",Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",168,3,3,"['Balcony', 'Shared Pool', 'Security', 'Covered Parking', 'View of Landmark', 'Lobby in Building']",6951000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7235245.html
"Resale, finished, RTm, lowest price in Al Maqsad",Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",133,2,2,"['Balcony', 'Shared Pool', 'Security', 'Covered Parking', 'View of Water', 'View of Landmark', 'Lobby in Building']",5690000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7234943.html
شقة للبيع ١٩٥م لافيردى العاصمة الإداريةفيو مميز ,Apartment,"La Verde Casette, New Capital Compounds, New Capital City, Cairo",195,3,3,"['Balcony', 'Shared Pool', 'Security', 'Covered Parking', 'Walk-in Closet', 'View of Water', 'View of Landmark', 'Shared Gym', 'Lobby in Building']",7250000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-la-verde-casette-7234915.html
Apartment sale in Oia in R7 directly  central axis,Apartment,"Oia, New Capital Compounds, New Capital City, Cairo",154,3,2,"['Balcony', 'Security', 'Covered Parking', 'View of Water', 'View of Landmark']",7700000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-oia-7234897.html
Twin Villa Ready To Move,Twin House,"La Vista City, New Capital Compounds, New Capital City, Cairo",330,4,4,"['Maids Room', 'Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking']",23000000,https://www.propertyfinder.eg/en/plp/buy/twin-house-for-sale-cairo-new-capital-city-new-capital-compounds-la-vista-city-7234048.html
ادفع مقدم 800 الف و امتلك شقتك بكمبوند البوسكو,Apartment,"IL Bosco, New Capital Compounds, New Capital City, Cairo",191,3,2,"['Maids Room', 'Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking']",10500000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-il-bosco-7233754.html
شقة للبيع بكمبوند DEJOYA بالعاصمة الجديدة,Apartment,"Dejoya 3 New Capital, New Capital Compounds, New Capital City, Cairo",155,3,1,"['Maids Room', 'Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking']",7450000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-dejoya-3-new-capital-7233700.html
Fully finished apartment|RTM with installments,Apartment,"Jade Park, New Capital Compounds, New Capital City, Cairo",175,2,1,"['Balcony', 'Shared Pool', 'Security', 'Covered Parking', 'View of Landmark', 'Shared Gym']",5801500,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-jade-park-7233523.html
"Twin house in La Vista City, in new capital semi  ",Twin House,"La Vista City, New Capital Compounds, New Capital City, Cairo",280,4,4,"['Maids Room', 'Balcony', 'Private Garden', 'Shared Pool', 'Security', 'Covered Parking', 'View of Water']",20500000,https://www.propertyfinder.eg/en/plp/buy/twin-house-for-sale-cairo-new-capital-city-new-capital-compounds-la-vista-city-7232892.html
Resale-Townhouse classic-Ready to move-Maqsad,Townhouse,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",391,3,3,"['Maids Room', 'Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking']",15797904,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7232514.html
"For sale, ground floor apartment, 126 m² + 26 m², ",Apartment,"IL Bosco, New Capital Compounds, New Capital City, Cairo",126,2,3,"['Maids Room', 'Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking']",6700000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-il-bosco-7231096.html
"Ready Now! Stand Alone, Modern In La Vista City ",Villa,"La Vista City, New Capital Compounds, New Capital City, Cairo",300,4,4,"['Study', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Walk-in Closet', 'View of Landmark', 'Shared Gym']",24000000,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-capital-city-new-capital-compounds-la-vista-city-7230438.html
APT 3BR DP 10% f finished installments-misr italia,Apartment,"Vinci, New Capital Compounds, New Capital City, Cairo",165,3,3,"['Balcony', 'Shared Pool', 'Shared Spa', 'Security', 'Shared Gym']",13743000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-vinci-7230260.html
امتلك شقتك ف قلب العاصمه ف R8 بمساحه 141 بجاردن 55,Apartment,"New Capital City, Cairo",141,3,2,"['Balcony', 'Private Garden', 'Security', 'View of Water', 'View of Landmark', 'Shared Gym', 'Lobby in Building']",7310000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-7229671.html
للبيع بكمبوند سيليا شقة 181متر فيو النهر الاخضر ,Apartment,"Celia, New Capital Compounds, New Capital City, Cairo",181,3,3,"['Balcony', 'Private Pool', 'Shared Spa', 'Security', 'View of Water', 'Shared Gym']",7050000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-celia-7229291.html
Fully finished apartment for immediate delivery in,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",155,3,3,"['Balcony', 'Shared Spa', 'Security', 'Covered Parking', 'View of Landmark']",5142000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7228000.html
Classic Townhouse  in Prime location Iconic Tower ,Townhouse,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",391,4,4,['Balcony'],16200000,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7227874.html
"Standalone Villa Facing North ,in Prime location ",Villa,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",464,5,5,['Balcony'],31770000,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7227630.html
Apartment for sale in the New Administrative Capit,Apartment,"New Garden City, New Capital Compounds, New Capital City, Cairo",94,1,2,['Balcony'],6800000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-new-garden-city-7227565.html
Townhouse Classic Middle resale Bahri Finished,Townhouse,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",391,4,4,"['Balcony', 'Private Garden', 'Security', 'Covered Parking', 'Walk-in Closet', 'Lobby in Building']",10100000,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7226809.html
Stand Alone Classic resale bahary Fully Finished,Villa,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",704,5,5,"['Balcony', 'Private Garden', 'Security', 'Covered Parking', 'Walk-in Closet', 'Lobby in Building']",21300000,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7226706.html
First Launch Standalone  In Patio Hills 5% Down P,Villa,"La Vista City, New Capital Compounds, New Capital City, Cairo",218,4,4,"['Maids Room', 'Study', 'Balcony', 'Private Garden', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking', 'Walk-in Closet', 'View of Water']",21900000,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-capital-city-new-capital-compounds-la-vista-city-7226617.html
First Launch Townhouse In Patio Hills 5% Down P,Townhouse,"La Vista City, New Capital Compounds, New Capital City, Cairo",180,3,4,"['Maids Room', 'Study', 'Balcony', 'Private Garden', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking', 'Walk-in Closet', 'View of Water']",17900000,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-cairo-new-capital-city-new-capital-compounds-la-vista-city-7226565.html
Apartment 140m Prime Location installment 10 Years,Apartment,"Midtown Sky, New Capital Compounds, New Capital City, Cairo",140,2,2,"['Balcony', 'Shared Pool', 'Shared Spa', 'Security', 'Shared Gym']",5413000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-midtown-sky-7225463.html
"The lowest price apartment in Al Maqsad Compound, ",Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",122,3,2,"['Balcony', 'Shared Spa', 'Security']",4944000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7224135.html
best offer for 1 bedroom unit in new capital,Apartment,"Botanica, New Capital Compounds, New Capital City, Cairo",71,1,1,"['Balcony', 'Shared Spa', 'Security', 'Covered Parking']",2286000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-botanica-7223851.html
Studio for sale in Compound The Curve,Apartment,"The Curve, New Capital Compounds, New Capital City, Cairo",68,1,1,"['Balcony', 'Security']",2000000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-the-curve-7223719.html
Ready To Move Apartment Installment 8 Years,Apartment,"IL Bosco, New Capital Compounds, New Capital City, Cairo",144,3,2,"['Balcony', 'Shared Pool', 'Shared Spa', 'Security', 'Shared Gym']",7500000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-il-bosco-7223264.html
"ready now own your Twin House, FULLY FINISHED",Twin House,"New Garden City, New Capital Compounds, New Capital City, Cairo",310,4,5,"['Study', 'Balcony', 'Security', 'View of Water']",35974000,https://www.propertyfinder.eg/en/plp/buy/twin-house-for-sale-cairo-new-capital-city-new-capital-compounds-new-garden-city-7223046.html
Apartment With 5% Down Payment- installment 10y,Apartment,"De Joya, New Capital Compounds, New Capital City, Cairo",143,3,3,"['Study', 'Balcony', 'Security', 'View of Water']",6306000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-de-joya-7222892.html
"Apartment In il bosco, 80% finishing -Lowest price",Apartment,"IL Bosco, New Capital Compounds, New Capital City, Cairo",182,3,3,"['Study', 'Balcony', 'Shared Pool', 'Shared Spa', 'Security', 'View of Landmark', 'Shared Gym', 'Lobby in Building', ""Children's Pool""]",5700000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-il-bosco-7222815.html
ready to move Townhouse fully finished in almaqsed,Townhouse,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",391,4,4,"['Study', 'Balcony', 'Security', 'View of Water']",15785000,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7221445.html
Apartment 150m At Lowest Price in Diplo East |5%DP,Apartment,"Pukka, New Capital Compounds, New Capital City, Cairo",150,3,3,"['Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking', 'Built in Wardrobes']",8550000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-pukka-7221126.html
Fully Finished Apt. RTM in Al Maqsed New Capital,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",133,3,2,"['Balcony', 'Security', 'Covered Parking', 'View of Landmark', 'Lobby in Building']",3900000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7219656.html
شقة بمقدم 550 الف فقط بكمبوند Dejoya من تاج مصر,Apartment,"Dejoya 3 New Capital, New Capital Compounds, New Capital City, Cairo",132,2,1,"['Maids Room', 'Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking']",5000000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-dejoya-3-new-capital-7219230.html
Town House 240M With Lowest Price In La Vista city,Townhouse,"La Vista City, New Capital Compounds, New Capital City, Cairo",230,4,4,"['Maids Room', 'Balcony', 'Private Garden', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking', 'Built in Wardrobes', 'View of Water', 'View of Landmark']",13800000,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-cairo-new-capital-city-new-capital-compounds-la-vista-city-7217194.html
Twinhouse modern very prime location -Lowest price,Twin House,"La Vista City, New Capital Compounds, New Capital City, Cairo",280,4,5,"['Maids Room', 'Central A/C', 'Balcony', 'Private Garden', 'Security', 'Built in Wardrobes', 'View of Landmark']",19500000,https://www.propertyfinder.eg/en/plp/buy/twin-house-for-sale-cairo-new-capital-city-new-capital-compounds-la-vista-city-7216931.html
بموقع متمييز وراقي - بكمبوند المقصد ,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",121,3,2,['Security'],4030000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7216915.html
Townhouse Corner for Sale – La Vista City-Modern,Townhouse,"La Vista City, New Capital Compounds, New Capital City, Cairo",255,4,4,"['Study', 'Balcony', 'Private Garden', 'Shared Pool', 'Security', 'Covered Parking', 'View of Water', 'View of Landmark']",19500000,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-cairo-new-capital-city-new-capital-compounds-la-vista-city-7216198.html
Apartment Ready To Move+showing in R7+10%Discount,Apartment,"Vinci, New Capital Compounds, New Capital City, Cairo",205,3,3,"['Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking', 'Built in Wardrobes']",12900000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-vinci-7216040.html
Townhouse Middle for Sale – La Vista Cit-modern,Townhouse,"La Vista City, New Capital Compounds, New Capital City, Cairo",234,5,3,"['Maids Room', 'Study', 'Balcony', 'Private Garden', 'Shared Pool', 'Security', 'Built in Wardrobes']",18500000,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-cairo-new-capital-city-new-capital-compounds-la-vista-city-7215893.html
Villa Corner resale ready to move fully finished,Villa,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",470,4,4,"['Study', 'Balcony', 'Private Garden', 'Security', 'Covered Parking', 'Walk-in Closet', 'Lobby in Building']",12000000,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7214421.html
"standalone villa in La Vista City, prime location ",Villa,"La Vista City, New Capital Compounds, New Capital City, Cairo",300,4,4,"['Maids Room', 'Balcony', 'Private Garden', 'Shared Pool', 'Security']",23500000,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-capital-city-new-capital-compounds-la-vista-city-7213996.html
For Sale: 171 m² Apartment – In the Capital – Al-M,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",171,3,3,"['Central A/C', 'Balcony', 'Covered Parking', 'Built in Wardrobes']",8600000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7212164.html
فيلا للبيع ٤٢٥ م استلام فوري في كمبوند ,Villa,"La Verde Casette, New Capital Compounds, New Capital City, Cairo",425,6,6,"['Maids Room', 'Study', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking', 'Built in Wardrobes']",43000000,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-capital-city-new-capital-compounds-la-verde-casette-7211520.html
فيلا للبيع ٢٨٥م استلام فوري في كمبوند ,Townhouse,"La Verde Casette, New Capital Compounds, New Capital City, Cairo",284,4,4,"['Maids Room', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Walk-in Closet', 'View of Water', 'Shared Gym', ""Children's Pool""]",24500000,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-cairo-new-capital-city-new-capital-compounds-la-verde-casette-7211491.html
Townhouse ForSale At LvistaCity Under Price Market,Townhouse,"La Vista City, New Capital Compounds, New Capital City, Cairo",235,4,4,"['Maids Room', 'Balcony', 'Private Garden', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking', 'Walk-in Closet', 'View of Landmark', 'Shared Gym']",10250000,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-cairo-new-capital-city-new-capital-compounds-la-vista-city-7211349.html
"apartment, 145 sqm, Dejoya Prime,View &amp; location",Apartment,"De Joya, New Capital Compounds, New Capital City, Cairo",145,3,2,"['Maids Room', 'Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking']",5500000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-de-joya-7211183.html
